Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
130,AVAXUSDT,564.0316985814602,2021-05-14 20:30:00,35.459,0.0,2021-05-14 22:00:00,36.269,0.0,456.86567585097873,0.022843283792548935,Long,Closed,130
131,AVAXUSDT,564.7962497529016,2021-05-15 09:30:00,35.411,0.0,2021-05-15 11:00:00,36.493,0.0,611.1095422326398,0.03055547711163199,Long,Closed,131
132,AVAXUSDT,564.2863188781988,2021-05-15 19:15:00,35.443,0.0,2021-05-15 20:15:00,36.58,0.0,641.5935445645118,0.03207967722822559,Long,Closed,132
133,AVAXUSDT,564.0157924421884,2021-05-15 22:45:00,35.46,0.0,2021-05-16 01:30:00,35.481,0.0,11.84433164128859,0.0005922165820644295,Long,Closed,133
134,AVAXUSDT,563.3802816901408,2021-05-16 17:15:00,35.5,0.0,2021-05-16 21:45:00,34.719,0.0,-440.0,-0.022,Long,Closed,134
135,AVAXUSDT,604.9423792383775,2021-05-17 03:30:00,33.061,0.0,2021-05-17 06:15:00,34.426,0.0,825.7463476603843,0.04128731738301922,Long,Closed,135
136,AVAXUSDT,580.6695119472753,2021-05-19 04:00:00,34.443,0.0,2021-05-19 15:45:00,26.111,0.0,-4838.138373544694,-0.2419069186772347,Long,Closed,136
137,AVAXUSDT,1670.843776106934,2021-07-26 13:15:00,11.97,0.0,2021-07-26 14:15:00,12.208,0.0,397.6608187134516,0.01988304093567258,Long,Closed,137
138,AVAXUSDT,1638.26998689384,2021-07-30 08:45:00,12.208,0.0,2021-07-30 14:15:00,12.14,0.0,-111.40235910878255,-0.005570117955439127,Long,Closed,138
139,AVAXUSDT,1477.1048744460857,2021-08-01 14:00:00,13.540000000000001,0.0,2021-08-01 15:30:00,13.658,0.0,174.29837518463682,0.008714918759231841,Long,Closed,139
140,AVAXUSDT,1489.0923981833073,2021-08-01 16:15:00,13.431,0.0,2021-08-01 20:00:00,13.357,0.0,-110.19283746556539,-0.005509641873278269,Long,Closed,140
141,AVAXUSDT,1518.718201837649,2021-08-01 22:30:00,13.168999999999999,0.0,2021-08-02 03:15:00,12.979,0.0,-288.5564583491541,-0.014427822917457707,Long,Closed,141
142,AVAXUSDT,1548.2272797646694,2021-08-02 12:15:00,12.918,0.0,2021-08-02 14:00:00,13.127,0.0,323.57950147081647,0.016178975073540824,Long,Closed,142
143,AVAXUSDT,1559.332605644784,2021-08-03 00:15:00,12.826,0.0,2021-08-03 00:45:00,13.206,0.0,592.5463901450166,0.02962731950725083,Long,Closed,143
144,AVAXUSDT,1583.6566632354106,2021-08-03 05:00:00,12.629,0.0,2021-08-03 10:45:00,12.738,0.0,172.6185762926616,0.00863092881463308,Long,Closed,144
